Id,MSZoning,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,CentralAir,KitchenQual,SalePrice
514,C,9081,Andheri,Apartment,2Story,7,6,2007,2020,CBlock,644.0,1404,178,1582,3,1,3,7,0,0.0,34.0,Y,Y,Gd,11745856
515,RM,5505,Koramangala,1Fam,1Story,3,3,1986,1991,PConc,266.0,449,156,605,2,0,3,6,0,3.0,642.0,Y,Y,Ex,10593447
516,RL,7087,Viman Nagar,1Fam,1Story,9,8,1979,1990,CBlock,755.0,772,490,1262,3,0,3,8,1,1.0,282.0,Y,Y,TA,11488193
517,RM,6863,Whitefield,1Fam,1Story,10,5,2019,2024,PConc,1019.0,901,607,1508,3,1,3,8,1,0.0,0.0,N,Y,Ex,16532618
518,RM,7460,Whitefield,1Fam,1Story,7,7,1996,2012,CBlock,561.0,612,439,1051,3,0,2,6,1,,0.0,Y,Y,Ex,14856386
519,FV,2617,Koramangala,1Fam,1Story,10,5,2019,2024,PConc,406.0,533,67,600,1,1,5,8,1,0.0,0.0,Y,N,Ex,11175130
520,RL,6329,Sector17,Apartment,1Story,8,3,2004,2017,BrkTil,1053.0,953,598,1551,3,0,2,6,0,3.0,740.0,N,Y,Gd,12858494
521,RL,9249,Andheri,Apartment,1Story,7,5,2021,2024,BrkTil,822.0,921,286,1207,3,1,2,7,0,3.0,545.0,Y,N,TA,10470986
522,FV,9530,Whitefield,1Fam,2Story,9,8,1990,2003,PConc,1484.0,1804,682,2486,2,0,3,7,2,1.0,224.0,Y,Y,TA,15550721
523,FV,5017,Andheri,1Fam,1Story,8,8,1994,2008,BrkTil,1263.0,1303,347,1650,2,1,4,8,2,0.0,0.0,Y,Y,Gd,11822291
524,RL,8841,Whitefield,1Fam,1Story,9,3,1997,2008,CBlock,1092.0,1721,113,1834,1,0,3,5,1,0.0,,Y,Y,Fa,12201381
525,RL,5477,Indiranagar,1Fam,1Story,4,6,2016,2024,CBlock,893.0,1438,102,1540,1,1,4,7,2,1.0,106.0,Y,Y,Gd,14656647
526,C,6250,Sector17,1Fam,SplitLevel,3,5,1984,1992,CBlock,789.0,1194,452,1646,2,1,2,5,1,1.0,80.0,Y,Y,TA,10640841
527,RL,6356,Indiranagar,Apartment,1Story,9,6,1973,1987,PConc,404.0,392,381,773,2,0,3,6,0,1.0,204.0,Y,Y,TA,10557335
528,RM,7217,Whitefield,1Fam,SplitLevel,9,6,1998,2009,PConc,449.0,769,310,1079,1,0,3,5,0,2.0,405.0,Y,Y,TA,12101173
529,RL,9002,Viman Nagar,1Fam,1Story,4,4,1978,1979,PConc,1400.0,1721,423,2144,3,1,2,6,2,1.0,270.0,N,Y,Ex,14555775
530,RL,7529,Viman Nagar,1Fam,SplitLevel,5,3,1996,2000,PConc,851.0,1327,377,1704,1,0,3,5,0,3.0,642.0,Y,Y,TA,10422811
531,RL,6747,Indiranagar,1Fam,1Story,4,7,1995,2007,PConc,730.0,1155,245,1400,3,1,5,9,0,2.0,299.0,N,Y,Gd,14471522
532,RL,8934,Viman Nagar,Apartment,1Story,8,8,1988,2007,CBlock,1305.0,1063,780,1843,2,1,4,7,1,1.0,192.0,Y,N,Gd,12135583
533,RL,5394,Whitefield,Duplex,2Story,4,8,1997,2004,PConc,983.0,1524,328,1852,2,0,4,7,2,3.0,565.0,N,Y,Gd,13831013
534,RL,6845,Koramangala,1Fam,2Story,4,3,1986,1999,CBlock,1289.0,1534,1061,2595,2,0,4,7,0,1.0,133.0,Y,Y,TA,12161422
535,RL,8991,Indiranagar,Apartment,2Story,3,9,2012,2024,PConc,786.0,1471,210,1681,3,0,3,8,2,1.0,221.0,Y,N,Ex,14885228
536,RL,8058,Bandra,1Fam,1Story,4,9,2010,2020,PConc,758.0,715,353,1068,1,1,5,7,0,2.0,452.0,Y,Y,Ex,15820806
537,RL,6067,Sector17,Duplex,1Story,10,9,2011,2011,PConc,696.0,1318,224,1542,3,1,3,8,1,3.0,559.0,Y,Y,Ex,13419701
538,RL,3974,Viman Nagar,1Fam,2Story,9,7,2019,2021,CBlock,1106.0,997,906,1903,1,0,4,6,0,0.0,0.0,Y,Y,Gd,13661183
539,FV,7621,Viman Nagar,Duplex,SplitLevel,10,8,1989,2005,BrkTil,1264.0,1476,621,2097,1,1,3,6,2,1.0,186.0,N,Y,Ex,14568619
540,RL,3842,Saket,1Fam,SplitLevel,3,3,2014,2024,PConc,534.0,675,117,792,1,1,4,7,2,2.0,366.0,Y,Y,Fa,6475957
541,RL,6574,Powai,1Fam,2Story,6,8,2009,2022,CBlock,1127.0,1058,668,1726,2,0,2,6,1,3.0,578.0,N,Y,Gd,15431499
542,RL,9357,Indiranagar,1Fam,1Story,5,6,2008,2015,BrkTil,833.0,1033,118,1151,1,1,4,7,0,1.0,166.0,Y,Y,Ex,16383803
543,C,8193,Malad,1Fam,1Story,10,5,2018,2024,BrkTil,549.0,1073,243,1316,2,1,2,6,1,0.0,6.0,Y,Y,TA,10803246
544,RL,2952,Viman Nagar,Apartment,2Story,3,5,2022,2024,CBlock,1048.0,1605,417,2022,1,1,2,5,2,3.0,570.0,Y,Y,TA,14030763
545,RL,7400,Sector17,1Fam,2Story,8,8,1992,1994,PConc,1010.0,1335,638,1973,1,0,2,4,1,3.0,621.0,Y,Y,TA,11590325
546,RL,6361,Bandra,Apartment,SplitLevel,6,4,2016,2020,PConc,577.0,933,327,1260,2,0,4,7,0,2.0,370.0,Y,N,TA,12173674
547,RM,4452,Viman Nagar,1Fam,2Story,3,7,2001,2009,PConc,784.0,1214,307,1521,2,1,5,8,0,1.0,232.0,Y,Y,Ex,14090205
548,RM,7670,Bandra,Duplex,SplitLevel,3,9,2021,2024,CBlock,697.0,979,352,1331,3,0,4,8,1,1.0,169.0,N,Y,TA,13305009
549,RL,6016,Whitefield,Duplex,2Story,5,7,2016,2017,PConc,1853.0,2585,460,3045,1,1,3,5,2,3.0,630.0,Y,N,Gd,15041536
550,RL,6028,Whitefield,1Fam,2Story,9,7,2002,2014,CBlock,1157.0,1246,493,1739,2,0,3,6,2,1.0,157.0,Y,Y,TA,13503433
551,RL,7248,Powai,1Fam,2Story,10,6,2015,2019,PConc,651.0,709,471,1180,3,1,5,10,1,3.0,644.0,Y,Y,Fa,9138920
552,RL,5748,Koramangala,1Fam,1Story,8,7,1974,1981,PConc,1555.0,1372,889,2261,3,1,5,9,0,0.0,0.0,N,Y,TA,11549170
553,RM,7191,Malad,Duplex,2Story,7,5,2012,2012,BrkTil,1217.0,1145,1133,2278,2,1,5,9,0,2.0,399.0,Y,Y,TA,12647949
554,RL,5813,Saket,Apartment,SplitLevel,10,6,2017,2024,BrkTil,1287.0,1622,873,2495,1,1,2,5,0,1.0,171.0,N,Y,Ex,15973605
555,RL,5923,Powai,1Fam,1Story,7,3,2003,2014,CBlock,1629.0,2311,332,2643,3,0,5,10,0,1.0,197.0,Y,Y,Gd,15510671
556,RL,8985,Andheri,1Fam,2Story,3,7,2009,2019,PConc,799.0,1751,202,1953,1,1,5,8,2,2.0,340.0,Y,Y,Fa,9739119
557,RM,9189,Saket,Duplex,1Story,4,7,1980,1986,BrkTil,615.0,856,569,1425,1,1,5,8,0,0.0,0.0,Y,Y,TA,8106891
558,RM,3582,Indiranagar,1Fam,2Story,8,3,2019,2024,PConc,849.0,1467,31,1498,3,0,4,9,1,0.0,0.0,Y,Y,Ex,18486452
559,FV,8494,Sector17,Apartment,2Story,6,7,1972,1982,CBlock,1129.0,1091,362,1453,2,0,3,6,1,0.0,0.0,Y,Y,TA,10102994
560,RL,9797,Andheri,1Fam,SplitLevel,4,3,2002,2017,PConc,962.0,1339,59,1398,1,1,3,6,1,0.0,0.0,Y,Y,Ex,12833255
561,RL,10114,Andheri,1Fam,2Story,4,6,1980,1982,CBlock,,1893,326,2219,2,1,5,9,1,0.0,16.0,Y,Y,TA,9359833
562,RL,8040,Powai,Duplex,1Story,10,5,1985,2004,CBlock,,1377,223,1600,3,0,3,7,0,,603.0,N,Y,TA,13831738
563,RL,4885,Koramangala,1Fam,1Story,8,3,1987,2000,BrkTil,,1131,954,2085,1,1,4,6,2,1.0,,Y,Y,Gd,14620324
564,RL,8259,Powai,Duplex,2Story,9,4,1999,2001,CBlock,1248.0,1182,756,1938,2,1,3,6,0,1.0,174.0,Y,Y,Gd,14709361
565,RL,5261,Indiranagar,1Fam,1Story,3,3,2017,2017,BrkTil,764.0,529,521,1050,2,1,2,5,2,1.0,193.0,Y,Y,Gd,13176207
566,RL,6314,Viman Nagar,1Fam,2Story,3,7,1979,1993,CBlock,416.0,635,106,741,1,1,4,6,0,3.0,759.0,Y,Y,TA,7871546
567,FV,7766,Viman Nagar,Duplex,1Story,3,9,1987,1987,CBlock,479.0,659,322,981,2,1,3,6,2,2.0,388.0,Y,N,Gd,8765519
568,RM,5390,Koramangala,1Fam,SplitLevel,3,9,2007,2023,PConc,838.0,1238,148,1386,2,1,3,6,1,0.0,47.0,Y,Y,TA,10958555
569,RL,4707,Indiranagar,1Fam,1Story,10,6,1988,1989,PConc,1032.0,1116,551,1667,3,1,4,9,1,2.0,428.0,Y,Y,TA,12759429
570,RL,7931,Koramangala,Apartment,SplitLevel,7,8,2005,2024,CBlock,784.0,1159,116,1275,3,1,3,7,2,0.0,116.0,Y,Y,Gd,13288694
571,RL,10734,Bandra,Apartment,2Story,3,6,1982,1987,BrkTil,1221.0,1102,849,1951,2,1,3,7,2,,0.0,Y,Y,Gd,13775216
572,RL,9486,Viman Nagar,Apartment,1Story,7,8,2015,2022,PConc,1041.0,783,553,1336,2,0,5,8,2,2.0,322.0,Y,Y,TA,11751989
573,RL,8414,Andheri,Apartment,2Story,7,9,1972,1987,PConc,1314.0,1158,570,1728,1,0,2,4,1,,144.0,Y,N,Fa,7834099
574,RL,8958,Malad,1Fam,SplitLevel,9,9,1979,1997,PConc,1243.0,1167,491,1658,3,0,4,9,1,3.0,608.0,N,Y,Ex,12302574
575,FV,8275,Sector17,1Fam,2Story,3,3,2007,2007,BrkTil,1777.0,1663,804,2467,1,1,5,7,0,2.0,,Y,Y,Ex,13842604
576,RL,7899,Indiranagar,1Fam,1Story,5,5,1970,1972,PConc,864.0,980,132,1112,2,1,3,6,2,,93.0,N,Y,Gd,11670330
577,RL,8797,Saket,Apartment,SplitLevel,6,4,1996,1998,PConc,1188.0,1483,1221,2704,1,1,4,6,2,0.0,0.0,Y,Y,TA,10997606
578,C,4263,Koramangala,Duplex,1Story,4,6,2015,2019,PConc,658.0,879,423,1302,2,0,4,7,2,1.0,218.0,Y,Y,Gd,12103702
579,RL,7398,Sector17,1Fam,1Story,7,7,1977,1988,PConc,,853,76,929,3,0,2,6,1,0.0,0.0,Y,Y,Fa,7745716
580,RL,6838,Saket,Apartment,2Story,8,8,2020,2024,CBlock,,795,696,1491,3,1,2,6,2,0.0,57.0,Y,Y,Ex,13093992
581,RL,7157,Sector17,1Fam,1Story,8,7,2015,2024,BrkTil,1938.0,3127,93,3220,2,0,4,7,2,1.0,143.0,Y,Y,Ex,19815470
582,RM,6077,Malad,1Fam,2Story,6,5,2011,2023,PConc,1431.0,2032,15,2047,3,0,2,7,1,0.0,0.0,Y,Y,Ex,14768966
583,RL,8040,Saket,1Fam,2Story,8,8,1986,2005,PConc,866.0,1034,867,1901,2,1,2,5,2,3.0,580.0,Y,Y,TA,10487146
584,RL,5364,Powai,1Fam,2Story,5,6,1978,1986,BrkTil,1000.0,1289,708,1997,1,1,3,6,0,1.0,209.0,Y,Y,Ex,12904963
585,FV,5932,Whitefield,1Fam,1Story,8,3,1975,1981,BrkTil,841.0,833,382,1215,2,0,2,6,1,2.0,414.0,Y,Y,Gd,11769790
586,RL,5692,Powai,1Fam,2Story,4,7,2012,2015,PConc,821.0,1565,198,1763,1,1,2,5,1,0.0,79.0,Y,Y,Gd,12928355
587,RM,8727,Viman Nagar,Duplex,2Story,4,5,1994,2012,PConc,865.0,1277,324,1601,2,0,5,9,1,0.0,34.0,Y,Y,TA,10718157
588,C,6976,Whitefield,1Fam,2Story,7,6,2008,2024,BrkTil,1266.0,2058,446,2504,3,0,3,8,0,3.0,578.0,N,Y,Ex,18457098
589,RL,6078,Powai,Duplex,2Story,3,9,2018,2023,CBlock,834.0,1357,188,1545,2,0,3,7,1,3.0,630.0,Y,Y,TA,12028176
590,C,6253,Whitefield,1Fam,1Story,9,9,1997,2009,BrkTil,963.0,788,622,1410,2,1,4,8,1,2.0,,Y,Y,Gd,13924237
591,RM,7007,Whitefield,Apartment,2Story,5,6,2002,2012,PConc,556.0,932,85,1017,2,0,2,5,1,0.0,102.0,Y,N,Fa,8614545
592,FV,10244,Andheri,Duplex,2Story,7,6,2006,2018,CBlock,1038.0,1424,246,1670,3,0,5,9,1,2.0,392.0,Y,Y,TA,11586592
593,RL,4526,Koramangala,Apartment,2Story,5,6,1978,1990,CBlock,768.0,1377,369,1746,2,1,5,8,0,2.0,395.0,Y,Y,Gd,12082465
594,FV,8351,Koramangala,1Fam,2Story,3,8,1987,2006,BrkTil,721.0,943,56,999,3,1,3,8,2,,65.0,Y,Y,Fa,7808452
595,RL,7943,Andheri,1Fam,1Story,10,6,1990,2004,BrkTil,1000.0,1552,274,1826,2,0,2,5,2,2.0,300.0,Y,Y,Ex,13865240
596,RM,5234,Sector17,1Fam,1Story,8,7,1971,1983,PConc,1131.0,1031,685,1716,1,1,5,8,1,2.0,389.0,Y,Y,TA,10446536
597,RL,9933,Bandra,1Fam,2Story,8,5,2012,2022,CBlock,1453.0,1505,601,2106,2,1,4,8,0,3.0,634.0,Y,Y,Gd,16823407
598,RL,8078,Sector17,1Fam,1Story,9,8,2007,2024,PConc,1067.0,1647,559,2206,1,0,2,4,1,3.0,652.0,Y,Y,Gd,13383726
599,RL,5984,Saket,1Fam,1Story,3,6,2009,2016,CBlock,1241.0,868,779,1647,3,1,2,7,2,2.0,289.0,Y,Y,Ex,12104852
600,RL,3281,Saket,1Fam,2Story,7,4,2005,2024,CBlock,698.0,1056,25,1081,3,0,2,7,2,0.0,0.0,N,N,Gd,8850036
601,RL,7458,Whitefield,Apartment,2Story,9,4,2019,2024,BrkTil,676.0,668,516,1184,2,1,5,8,0,3.0,475.0,Y,Y,Ex,16731567
602,RL,6910,Powai,1Fam,1Story,3,5,2012,2021,PConc,1173.0,2105,376,2481,3,1,3,8,2,2.0,443.0,Y,N,TA,13334994
603,RL,4938,Powai,Apartment,SplitLevel,6,9,2006,2021,PConc,1306.0,1266,416,1682,2,0,3,6,1,1.0,210.0,Y,Y,Gd,13515978
604,RL,4912,Koramangala,1Fam,1Story,4,3,1984,2002,PConc,1736.0,1268,1205,2473,3,0,4,9,0,1.0,270.0,Y,Y,TA,13848310
605,RL,8737,Indiranagar,1Fam,2Story,9,3,1997,2007,PConc,893.0,1779,70,1849,1,1,5,8,2,2.0,401.0,N,N,TA,12162548
606,RL,3088,Sector17,1Fam,2Story,9,9,1987,1999,PConc,1057.0,1829,147,1976,3,1,2,6,1,1.0,312.0,Y,Y,TA,10468732
607,C,7628,Viman Nagar,Duplex,1Story,7,8,2003,2011,BrkTil,1497.0,1576,493,2069,1,1,4,6,0,3.0,552.0,Y,Y,TA,14363487
608,RM,6625,Malad,Duplex,SplitLevel,5,8,1991,2010,PConc,670.0,607,381,988,2,0,4,7,1,0.0,0.0,Y,Y,Ex,9965057
609,RL,7994,Powai,Duplex,1Story,6,8,1980,1998,CBlock,1238.0,983,770,1753,2,1,3,7,2,2.0,420.0,Y,Y,Ex,14664734
610,RL,6411,Malad,1Fam,1Story,7,3,1982,1997,BrkTil,565.0,668,313,981,2,0,2,6,1,3.0,564.0,N,Y,Gd,9227666
611,RM,7586,Whitefield,1Fam,2Story,3,4,1973,1979,BrkTil,1000.0,914,543,1457,1,1,2,4,0,0.0,20.0,Y,Y,Fa,9210753
612,RL,5514,Malad,1Fam,2Story,3,3,1991,2009,CBlock,1064.0,1446,474,1920,2,1,5,8,1,1.0,194.0,Y,Y,TA,9069613
613,RL,6901,Viman Nagar,1Fam,SplitLevel,3,7,1976,1987,PConc,526.0,1068,19,1087,2,1,5,8,2,1.0,191.0,Y,Y,TA,8984361
614,RL,7978,Andheri,Apartment,1Story,10,6,2012,2024,PConc,1227.0,1479,400,1879,1,1,5,8,0,1.0,193.0,Y,N,TA,10960043
615,FV,7301,Viman Nagar,Apartment,1Story,3,8,1993,2006,PConc,671.0,803,47,850,3,1,4,9,0,,235.0,Y,Y,Fa,8630410
616,RL,7760,Malad,1Fam,1Story,5,4,1973,1983,CBlock,1138.0,1792,379,2171,2,0,2,5,2,3.0,582.0,Y,Y,Gd,10899887
617,RM,5144,Viman Nagar,Duplex,2Story,6,5,1997,2006,CBlock,740.0,934,333,1267,3,0,3,7,1,3.0,544.0,Y,Y,Gd,12011846
618,RL,5818,Bandra,1Fam,2Story,8,5,1984,1994,CBlock,727.0,1007,79,1086,3,0,4,8,1,0.0,3.0,Y,Y,TA,12649096
619,RM,5853,Whitefield,1Fam,SplitLevel,4,6,1970,1975,BrkTil,543.0,648,234,882,2,1,4,8,2,2.0,368.0,Y,Y,TA,9548645
620,RL,6447,Sector17,1Fam,2Story,5,4,1972,1973,CBlock,965.0,1223,87,1310,2,0,3,6,0,0.0,0.0,Y,Y,TA,8123512
621,RL,9717,Andheri,1Fam,SplitLevel,5,3,1983,1993,BrkTil,455.0,417,229,646,1,0,3,5,2,2.0,313.0,N,N,TA,7290751
622,RL,6291,Powai,Duplex,SplitLevel,10,3,2007,2024,BrkTil,560.0,747,578,1325,1,1,5,7,0,1.0,246.0,Y,Y,TA,11762613
623,FV,4712,Saket,1Fam,1Story,8,7,2019,2024,PConc,1717.0,1993,156,2149,2,1,3,7,0,1.0,233.0,Y,Y,Gd,13464810
624,RL,8083,Sector17,Apartment,1Story,8,7,1970,1983,PConc,,1194,311,1505,3,0,3,8,1,1.0,270.0,Y,Y,TA,9621764
625,RL,9693,Saket,1Fam,1Story,4,3,2007,2024,PConc,753.0,954,57,1011,1,0,3,5,2,1.0,200.0,N,Y,TA,7804128
626,RM,4477,Whitefield,1Fam,1Story,4,5,2007,2012,CBlock,1131.0,1659,54,1713,1,0,3,6,0,3.0,653.0,Y,Y,Gd,12317047
627,RL,10945,Andheri,1Fam,2Story,8,8,1990,2006,CBlock,1238.0,878,790,1668,2,0,5,8,1,0.0,0.0,Y,Y,Gd,11603423
628,RL,7830,Koramangala,Duplex,1Story,3,5,2017,2024,PConc,1147.0,1934,644,2578,2,0,4,7,2,2.0,304.0,Y,N,TA,12288428
629,RL,9067,Powai,1Fam,1Story,5,7,1998,1998,BrkTil,1075.0,1371,624,1995,2,0,2,5,2,2.0,362.0,Y,Y,TA,12222171
630,RL,9934,Bandra,Duplex,1Story,7,6,1974,1976,PConc,1314.0,1424,328,1752,2,0,2,5,0,3.0,589.0,N,Y,Gd,13781169
631,RL,8945,Koramangala,1Fam,1Story,4,3,2018,2024,BrkTil,986.0,1840,212,2052,1,1,4,7,0,1.0,218.0,Y,Y,Ex,14591106
632,C,6778,Whitefield,1Fam,1Story,10,7,1979,1986,PConc,660.0,980,552,1532,1,0,2,4,0,0.0,64.0,Y,Y,TA,11297726
633,RL,9435,Sector17,1Fam,1Story,10,7,1997,2016,PConc,1117.0,1215,347,1562,1,1,2,4,2,1.0,216.0,Y,Y,Ex,13791536
634,C,7509,Bandra,1Fam,1Story,4,8,1990,2004,PConc,1783.0,2075,354,2429,3,1,4,9,0,3.0,712.0,Y,Y,Gd,16662209
635,RL,9180,Viman Nagar,Duplex,1Story,8,3,2019,2024,PConc,363.0,443,339,782,1,1,2,4,2,2.0,405.0,N,Y,TA,10933176
636,RL,9399,Malad,1Fam,2Story,6,8,1976,1986,PConc,,1889,194,2083,1,0,2,5,1,3.0,605.0,Y,Y,TA,10881606
637,RL,4818,Bandra,1Fam,1Story,7,3,1972,1978,CBlock,1041.0,1239,305,1544,2,0,4,7,2,2.0,416.0,Y,Y,Fa,10478971
638,RM,8588,Whitefield,1Fam,SplitLevel,7,8,2014,2017,PConc,884.0,1417,37,1454,1,1,2,4,0,0.0,18.0,Y,Y,Ex,15464799
639,RL,6636,Indiranagar,1Fam,2Story,4,5,2016,2024,CBlock,,886,437,1323,1,0,3,5,2,2.0,418.0,N,Y,Gd,14163068
640,RM,7276,Malad,Duplex,1Story,3,6,1989,1994,PConc,951.0,928,748,1676,1,0,4,6,0,0.0,0.0,N,N,Ex,10293193
641,RM,7254,Saket,Duplex,2Story,6,6,1988,2001,PConc,753.0,1188,390,1578,2,1,5,9,1,1.0,242.0,Y,Y,Ex,11074983
642,RL,7173,Powai,Duplex,1Story,7,3,2004,2015,CBlock,715.0,755,637,1392,1,0,2,4,0,1.0,325.0,N,Y,Ex,14072384
643,RL,10047,Saket,1Fam,1Story,4,4,1973,1983,PConc,751.0,1228,20,1248,1,1,5,8,0,3.0,555.0,N,Y,TA,6995478
644,RL,4267,Bandra,1Fam,2Story,10,9,1974,1992,CBlock,396.0,336,311,647,3,1,2,7,0,0.0,0.0,Y,Y,Gd,11537755
645,RM,3555,Saket,Duplex,SplitLevel,7,7,1970,1974,PConc,894.0,1085,153,1238,3,1,3,8,0,1.0,,N,Y,Fa,6510984
646,RL,3133,Whitefield,1Fam,SplitLevel,9,7,1973,1986,PConc,962.0,1024,319,1343,3,1,4,8,0,0.0,37.0,Y,Y,Ex,14913083
647,RM,9138,Viman Nagar,Duplex,2Story,6,3,1981,1996,PConc,1059.0,1146,529,1675,3,0,5,10,0,1.0,237.0,Y,Y,TA,11102471
648,RL,5453,Sector17,Duplex,1Story,6,8,1996,2008,CBlock,1838.0,1375,1206,2581,2,1,4,8,1,1.0,124.0,Y,Y,Fa,10940637
649,RM,7264,Powai,Duplex,1Story,9,4,2011,2024,PConc,615.0,1047,245,1292,3,0,5,10,1,2.0,334.0,Y,Y,Ex,15757742
650,RL,6770,Saket,1Fam,2Story,5,5,1992,1995,CBlock,456.0,862,226,1088,1,0,2,4,2,3.0,495.0,Y,Y,Gd,9094106
651,RL,5227,Saket,Apartment,2Story,10,8,1994,2004,BrkTil,930.0,795,447,1242,3,0,3,7,0,2.0,478.0,N,N,TA,8826002
652,FV,8702,Bandra,Duplex,1Story,9,8,1990,2006,PConc,721.0,1600,76,1676,2,0,5,9,2,0.0,,N,N,TA,12294439
653,RM,6745,Sector17,Duplex,SplitLevel,8,3,2021,2024,BrkTil,944.0,1234,660,1894,3,1,5,10,1,1.0,193.0,Y,Y,TA,11751064
654,RL,6524,Koramangala,1Fam,1Story,8,3,1993,2006,PConc,1331.0,1423,541,1964,3,1,3,7,1,3.0,581.0,Y,Y,Gd,13205171
655,RM,7465,Saket,1Fam,2Story,4,7,1994,2004,CBlock,1134.0,1553,460,2013,2,1,3,7,0,1.0,249.0,Y,Y,TA,10740809
656,RM,8441,Whitefield,1Fam,SplitLevel,6,3,2014,2022,CBlock,1564.0,1146,938,2084,2,1,3,7,0,1.0,233.0,Y,Y,TA,15237470
657,RL,5082,Indiranagar,1Fam,SplitLevel,5,3,2015,2024,PConc,758.0,1410,50,1460,2,1,3,7,2,2.0,430.0,Y,Y,Ex,16784305
658,RL,8745,Powai,1Fam,2Story,5,3,2001,2018,BrkTil,1062.0,1804,822,2626,2,0,3,6,1,0.0,0.0,Y,Y,Fa,12919670
659,RL,9899,Saket,Apartment,1Story,7,7,2001,2011,PConc,739.0,768,654,1422,2,1,4,8,2,3.0,634.0,Y,Y,TA,9602681
660,FV,4147,Whitefield,1Fam,1Story,7,5,1974,1988,PConc,1044.0,1147,507,1654,2,0,2,6,2,3.0,646.0,Y,N,Gd,11371279
661,RL,7556,Whitefield,1Fam,1Story,9,5,2005,2023,CBlock,1236.0,1797,450,2247,1,0,2,4,2,3.0,,Y,Y,TA,15782551
662,RL,6390,Powai,1Fam,2Story,5,9,2015,2015,BrkTil,1156.0,1425,458,1883,3,1,5,10,0,0.0,0.0,Y,Y,TA,12068374
663,RL,8398,Koramangala,1Fam,2Story,9,9,2011,2014,BrkTil,,508,92,600,3,0,3,7,1,3.0,543.0,N,Y,Ex,12664359
664,RL,4566,Whitefield,Apartment,2Story,10,3,2018,2024,PConc,1225.0,845,757,1602,2,0,4,7,2,0.0,86.0,Y,Y,Gd,14869203
665,RL,10257,Indiranagar,Duplex,1Story,9,9,2011,2024,CBlock,1027.0,1303,727,2030,2,1,4,7,1,3.0,697.0,Y,Y,TA,14654854
666,RL,3784,Whitefield,1Fam,1Story,7,7,2008,2010,PConc,542.0,844,84,928,1,1,5,8,1,1.0,196.0,Y,Y,TA,11274669
667,RL,6511,Whitefield,1Fam,2Story,6,5,1985,2001,PConc,1223.0,1066,909,1975,1,1,3,6,2,0.0,0.0,Y,Y,Fa,10915117
668,FV,7868,Whitefield,1Fam,SplitLevel,9,8,2002,2004,CBlock,1399.0,1665,130,1795,2,0,2,6,2,2.0,407.0,Y,N,Ex,14404152
669,FV,5627,Viman Nagar,1Fam,1Story,3,5,2018,2024,PConc,1751.0,1196,995,2191,1,1,3,6,0,3.0,628.0,Y,Y,Gd,16408311
670,RL,5313,Viman Nagar,1Fam,2Story,6,5,1990,2003,PConc,619.0,1150,104,1254,1,1,4,7,1,2.0,327.0,Y,Y,Gd,10226680
671,RL,7444,Koramangala,1Fam,1Story,5,7,1978,1997,BrkTil,1448.0,1426,671,2097,2,0,3,7,2,0.0,11.0,Y,Y,TA,11715008
672,C,7155,Saket,Duplex,2Story,5,9,1975,1987,CBlock,925.0,1353,326,1679,2,1,2,6,2,1.0,148.0,Y,Y,Gd,9659919
673,RL,7011,Whitefield,1Fam,SplitLevel,9,8,2020,2024,CBlock,1001.0,1431,1052,2483,2,0,2,6,1,2.0,398.0,Y,N,TA,14110422
674,RM,8717,Sector17,1Fam,1Story,6,7,2014,2024,PConc,1208.0,1595,1398,2993,2,0,5,8,2,2.0,355.0,Y,Y,Ex,18566843
675,C,6211,Saket,Duplex,1Story,7,3,2004,2022,BrkTil,1384.0,1440,929,2369,3,1,4,9,1,1.0,167.0,Y,Y,Ex,12478162
676,RM,7639,Koramangala,Apartment,1Story,7,6,2008,2013,PConc,1095.0,1037,803,1840,3,0,3,8,2,1.0,209.0,Y,Y,Fa,10153342
677,RL,5986,Andheri,Apartment,1Story,8,5,1991,2000,CBlock,1128.0,1811,949,2760,2,0,3,6,1,0.0,0.0,Y,Y,Gd,14035181
678,FV,5301,Saket,Duplex,2Story,5,6,2010,2024,CBlock,1282.0,1439,462,1901,1,1,5,8,2,3.0,545.0,N,Y,Fa,9928223
679,C,6430,Saket,1Fam,1Story,4,7,1974,1993,CBlock,593.0,910,236,1146,2,1,5,8,2,2.0,472.0,Y,Y,Gd,8048110
680,RM,6002,Malad,1Fam,1Story,8,7,2011,2016,PConc,985.0,1413,167,1580,3,1,5,10,0,,345.0,Y,Y,Ex,13180082
681,RL,6102,Bandra,Apartment,2Story,7,7,1992,2001,PConc,1030.0,1639,341,1980,1,0,4,7,1,0.0,0.0,N,N,TA,13092819
682,RM,9330,Malad,Apartment,2Story,6,6,1986,1992,CBlock,939.0,1618,394,2012,3,0,3,7,0,3.0,628.0,Y,Y,TA,9890813
683,RL,6491,Indiranagar,1Fam,1Story,10,7,1981,1997,PConc,,732,305,1037,2,1,5,8,2,0.0,0.0,Y,Y,Gd,12791504
684,RL,5674,Viman Nagar,1Fam,2Story,7,3,1992,2009,CBlock,519.0,775,278,1053,3,1,4,9,1,2.0,398.0,Y,Y,Ex,12975375
